day,WoD,hour,drank
2020/01/01,Wed.,7.5,
2020/01/02,Thu.,8.5,
2020/01/03,Fri.,,
2020/01/04,Sat.,,
2020/01/05,Sun.,7.5,
2020/01/06,Mon.,7.5,
2020/01/07,Tue.,7.5,
2020/01/08,Wed.,8,
2020/01/09,Thu.,7,
2020/01/10,Fri.,7.5,
2020/01/11,Sat.,8.5,
2020/01/12,Sun.,8.5,
2020/01/13,Mon.,7,
2020/01/14,Tue.,7,
2020/01/15,Wed.,7.5,
2020/01/16,Thu.,7,
2020/01/17,Fri.,7.5,
2020/01/18,Sat.,8,
2020/01/19,Sun.,8,
2020/01/20,Mon.,6.5,
2020/01/21,Tue.,7,
2020/01/22,Wed.,7,
2020/01/23,Thu.,6,
2020/01/24,Fri.,7.5,
2020/01/25,Sat.,,
2020/01/26,Sun.,8,
2020/01/27,Mon.,7,
2020/01/28,Tue.,7,
2020/01/29,Wed.,5,
2020/01/30,Thu.,6,
2020/01/31,Fri.,7.5,
2020/02/01,Sat.,8,
2020/02/02,Sun.,7,
2020/02/03,Mon.,7.5,
2020/02/04,Tue.,7.5,
2020/02/05,Wed.,5.5,
2020/02/06,Thu.,7.5,
2020/02/07,Fri.,7.5,
2020/02/08,Sat.,,
2020/02/09,Sun.,7.5,
2020/02/10,Mon.,8.5,
2020/02/11,Tue.,7.5,
2020/02/12,Wed.,6,
2020/02/13,Thu.,7.5,
2020/02/14,Fri.,7.5,
2020/02/15,Sat.,8,
2020/02/16,Sun.,7,
2020/02/17,Mon.,7,
2020/02/18,Tue.,7.5,
2020/02/19,Wed.,6.5,
2020/02/20,Thu.,7,
2020/02/21,Fri.,,
2020/02/22,Sat.,8,
2020/02/23,Sun.,7,
2020/02/24,Mon.,7.5,
2020/02/25,Tue.,7.5,
2020/02/26,Wed.,,
2020/02/27,Thu.,7.5,
2020/02/28,Fri.,7.5,
2020/02/29,Sat.,,
2020/03/01,Sun.,7,
2020/03/02,Mon.,7,
2020/03/03,Tue.,7,
2020/03/04,Wed.,8,
2020/03/05,Thu.,7,
2020/03/06,Fri.,7.5,
2020/03/07,Sat.,7.5,
2020/03/08,Sun.,7.5,
2020/03/09,Mon.,6.5,
2020/03/10,Tue.,6.5,
2020/03/11,Wed.,7.5,
2020/03/12,Thu.,7,
2020/03/13,Fri.,7.5,
2020/03/14,Sat.,,
2020/03/15,Sun.,6,
2020/03/16,Mon.,,
2020/03/17,Tue.,7,
2020/03/18,Wed.,7,
2020/03/19,Thu.,,
2020/03/20,Fri.,7.5,
2020/03/21,Sat.,8,
2020/03/22,Sun.,7.5,
2020/03/23,Mon.,7.5,
2020/03/24,Tue.,7.5,
2020/03/25,Wed.,7,
2020/03/26,Thu.,6.5,
2020/03/27,Fri.,6.5,
2020/03/28,Sat.,8,
2020/03/29,Sun.,7,
2020/03/30,Mon.,7,
2020/03/31,Tue.,4.5,
2020/04/01,Wed.,7.5,
2020/04/02,Thu.,8.5,300
2020/04/03,Fri.,8.5,600
2020/04/04,Sat.,7.5,650
2020/04/05,Sun.,8.5,300
2020/04/06,Mon.,7,1000
2020/04/07,Tue.,5.5,550
2020/04/08,Wed.,7,250
2020/04/09,Thu.,7,700
2020/04/10,Fri.,8,600
2020/04/11,Sat.,7,300
2020/04/12,Sun.,8.5,520
2020/04/13,Mon.,7.5,1050
2020/04/14,Tue.,7.5,
